#,Tool Name,Category,Description,Monthly Searches,India Opportunity,Status,Libraries/Dependencies
1,TikTok Video Downloader,Downloader,Download TikTok without watermark,20000000,🔥 Very High,Build Now,API / yt-dlp
2,Ad Blocker Extension,Extension,Block ads and trackers,20000000,🔥 Very High,Build Now,Vanilla JS
3,YouTube Downloader,Downloader,High traffic video/audio extraction,"20,000,000",🔥 Very High,Build Now,yt-dlp
4,Instagram Video Downloader,Downloader,Download IG Reels and Videos,15000000,🔥 Very High,Build Now,Instaloader / API
5,YouTube Video Downloader Extension,Extension,Download videos directly from browser,15000000,🔥 Very High,Build Now,Vanilla JS
6,Facebook Video Downloader,Downloader,Download FB videos,12000000,🔥 Very High,Build Now,yt-dlp
7,AI Translator,Text,100+ languages (22 Indian languages),"10,000,000",🔥 Very High,Build Now,Google Cloud Translation API
8,Grammar Checker Extension,Extension,Check grammar as you type,10000000,🔥 Very High,Build Now,LanguageTool API
9,PDF to Word,PDF,Convert PDF to editable DOCX,"10,000,000",🔥 Very High,Build Now,pdf2docx / PDF.js
10,AI Image Generator,Image,Generate images from text prompts,10000000,🔥 Very High,Build Now,Stable Diffusion API
11,Speed Test,Utility,Test internet connection speed,10000000,🔥 Very High,Build Now,WebSockets / WebRTC
12,Twitter Video Downloader,Downloader,Download X videos,10000000,🔥 Very High,Build Now,yt-dlp
13,Spotify MP3 Downloader,Downloader,Download Spotify tracks,8000000,🔥 Very High,Build Now,API / yt-dlp
14,Compress Image to 50KB,Image,Target size image compression,8000000,🔥 Very High,Build Now,browser-image-compression
15,Currency Converter,Finance,Live exchange rates conversion,8000000,🔥 Very High,Build Now,ExchangeRate-API
16,Logo Maker,Branding,Create custom logos online,8000000,🔥 Very High,Build Now,Fabric.js / Canvas API
17,MP4 to MP3,Converter,Convert MP4 videos to MP3 audio,8000000,🔥 Very High,Build Now,FFmpeg
18,PDF Compressor,PDF,High-traffic revenue driver,"8,000,000",🔥 Very High,Build Now,Ghostscript / PDF-lib
19,Word to PDF,PDF,Convert Word documents to PDF,8000000,🔥 Very High,Build Now,LibreOffice API / CloudConvert API
20,AI Writing Assistant,Text,"Long-form blog, email, and essay writer","8,000,000",🔥 High,Build Now,OpenAI API / LangChain
21,Percentage Calculator,Finance,Calculate percentages and discounts,8000000,🔥 Very High,Build Now,Vanilla JS
22,JPG to PDF,PDF,Combine JPG images into PDF,7000000,🔥 Very High,Build Now,jsPDF / Canvas API
23,Word to PDF,PDF,Convert Word docs to PDF,7000000,🔥 Very High,Build Now,LibreOffice API
24,Online Timer,Productivity,Countdown timer with alarm,7000000,🔥 Very High,Build Now,Web Audio API
25,Plagiarism Checker,Text,Check text for duplicate content,6000000,🔥 Very High,Build Now,Copyscape API / Custom API
26,Age Calculator,Utility,Calculate exact age in years/months/days,6000000,🔥 Very High,Build Now,Date-fns / Moment.js
27,HEIC to JPG,Image,Convert iPhone photos to JPG,6000000,🔥 Very High,Build Now,heic2any
28,PDF to JPG,PDF,Convert PDF pages to JPG images,6000000,🔥 Very High,Build Now,PDF.js / Canvas API
29,PDF to PPT,PDF,Convert PDF to PowerPoint,6000000,🔥 Very High,Build Now,pdf2json / PptxGenJS
30,Fancy Text Generator,Text,Create stylish fonts for social media,6000000,🔥 Very High,Build Now,Unicode mapping
31,Stopwatch,Productivity,Online stopwatch with lap times,6000000,🔥 Very High,Build Now,Vanilla JS
32,Reddit Video Downloader,Downloader,Download videos from Reddit,6000000,🔥 Very High,Build Now,yt-dlp
33,Background Remover,Image,AI one-click background removal,"5,500,000",🔥 Very High,Build Now,rembg / OpenCV / TensorFlow.js
34,WebP to JPG,Image,Convert WebP images to JPG,5000000,🔥 Very High,Build Now,Canvas API
35,Wheel of Names,Utility,Random name picker wheel,5000000,🔥 Very High,Build Now,Canvas API / GSAP
36,Image Compressor,Image,Lossless & lossy compression for JPG/PNG/WEBP,"5,000,000",🔥 Very High,Build Now,HTML5 Canvas / libjpeg-turbo
37,Object Remover,Image,Remove unwanted objects from photos,5000000,🔥 Very High,Build Now,Lama Cleaner
38,PPT to PDF,PDF,Convert PowerPoint to PDF,5000000,🔥 Very High,Build Now,LibreOffice API
39,Temporary Email Generator,Privacy,Generate disposable email addresses,5000000,🔥 Very High,Build Now,Mailinator API / Custom Backend
40,Screen Recorder Extension,Extension,Record screen and audio,5000000,🔥 Very High,Build Now,MediaRecorder API
41,PDF Merger,PDF,Combine multiple PDFs into one,5000000,🔥 Very High,Build Now,pdf-lib
42,QR Code Generator,Utility,Create custom QR codes with logos,5000000,🔥 Very High,Build Now,qrcode.js
43,To-Do List,Productivity,Simple task management,5000000,🔥 Very High,Build Now,React / LocalStorage
44,Excel to PDF,PDF,Convert Excel spreadsheets to PDF,5000000,🔥 Very High,Build Now,SheetJS / jsPDF
45,EMI Calculator,Finance,Calculate home/car loan EMI,5000000,🔥 Very High,Build Now,Vanilla JS
46,Character Counter,Text,Count characters with/without spaces,5000000,🔥 Very High,Build Now,Vanilla JS
47,Video to Text Transcription,Transcription,Extract text from video files,5000000,🔥 Very High,Build Now,Whisper API
48,Word Counter,Text,Count words/characters/paragraphs,4500000,🔥 Very High,Build Now,Vanilla JS
49,Crop Image,Image,Online image cropper,4000000,🔥 Very High,Build Now,Cropper.js
50,Social Media Post Maker,Branding,Create graphics for social media,4000000,🔥 Very High,Build Now,Fabric.js
51,MKV to MP4,Converter,Convert MKV videos to MP4,4000000,🔥 Very High,Build Now,FFmpeg
52,Text to Speech (TTS),Audio,AI voice generator with Indian accents,4000000,🔥 Very High,Build Now,Google Cloud TTS / ElevenLabs
53,AI Paraphrasing Tool,Text,Rewrite articles and sentences,4000000,🔥 Very High,Build Now,HuggingFace
54,Random Number Generator,Utility,Generate random numbers in range,4000000,🔥 Very High,Build Now,Math.random()
55,URL Shortener,Utility,Shorten long URLs with analytics,4000000,🔥 Very High,Build Now,Node.js / Redis
56,Text Summarizer,Text,AI-powered article summarization,4000000,🔥 Very High,Build Now,OpenAI API / HuggingFace
57,Passport Photo Maker,Image,"India specs: Aadhaar, PAN, VISA, Passport","4,000,000",🔥 Very High,Build Now,OpenCV / Canvas API
58,PDF to Excel,PDF,Extract tables from PDF to Excel,4000000,🔥 Very High,Build Now,pdf2json / SheetJS
59,Unlock PDF,PDF,Remove password from PDF,4000000,🔥 Very High,Build Now,qpdf
60,Image Enhancer,Image,Enhance image quality and resolution,4000000,🔥 Very High,Build Now,Real-ESRGAN
61,SIP Calculator,Finance,Mutual fund returns calculator,4000000,🔥 Very High,Build Now,Vanilla JS
62,BMI Calculator,Health,Body Mass Index calculator,4000000,🔥 Very High,Build Now,Vanilla JS
63,Pinterest Image Downloader,Downloader,Download high-res Pinterest pins,4000000,🔥 Very High,Build Now,Vanilla JS
64,Audio to Text Transcription,Transcription,Transcribe audio files to text,4000000,🔥 Very High,Build Now,Whisper API
65,SoundCloud Downloader,Downloader,Download audio from SoundCloud,4000000,🔥 High,Build Now,yt-dlp
66,Meme Generator,Image,Add custom text to meme templates,3500000,🔥 Very High,Build Now,Canvas API
67,MOV to MP4,Converter,Convert MOV videos to MP4,3500000,🔥 High,Build Now,FFmpeg
68,Resume Builder,Utility,Create professional resumes online,3500000,🔥 Very High,Build Now,React / html2pdf.js
69,AI Image Upscaler,Image,Upscale images without losing quality,3500000,🔥 Very High,Build Now,Real-ESRGAN
70,GST Calculator,Finance,Calculate GST inclusive/exclusive prices,3500000,🔥 Very High,Build Now,Vanilla JS
71,Image Resizer,Image,Social media templates & custom resizing,"3,200,000",🔥 Very High,Build Now,Canvas API / Sharp
72,Password Generator,Utility,Generate secure random passwords,3000000,🔥 High,Build Now,Crypto API
73,Diff Checker,Developer,Compare two text files for differences,3000000,🔥 Very High,Build Now,diff-match-patch
74,WEBM to MP4,Converter,Convert WEBM videos to MP4,3000000,🔥 High,Build Now,FFmpeg
75,AI Object Remover,Image,Remove unwanted objects from photos,3000000,🔥 Very High,Build Now,Lama Cleaner
76,IP Address Lookup,Utility,Find geolocation of IP address,3000000,🔥 High,Build Now,MaxMind / IP-API
77,Brand Name Generator,Branding,Generate unique brand names,3000000,🔥 High,Build Now,OpenAI API
78,AI Content Humanizer,Text,Bypass AI detectors and make text human-like,3000000,🔥 Very High,Build Now,OpenAI API / Custom NLP
79,Photo Retoucher,Image,Retouch photos automatically,3000000,🔥 High,Build Now,OpenCV
80,PDF Splitter,PDF,Extract pages from PDF,3000000,🔥 High,Build Now,pdf-lib
81,Image Upscaler (AI),Image,2×/4×/8× upscaling using Real-ESRGAN,"3,000,000",🔥 High,Build Now,Real-ESRGAN / OpenCV
82,Twitch Clip Downloader,Downloader,Download clips from Twitch,3000000,🔥 High,Build Now,Twitch API
83,Color Picker Extension,Extension,Pick colors from any webpage,3000000,🔥 High,Build Now,Vanilla JS
84,Font Generator,Text,Generate cool text fonts,3000000,🔥 High,Build Now,Vanilla JS
85,Salary Calculator,HR,Calculate net salary after taxes,3000000,🔥 Very High,Build Now,Vanilla JS
86,Audio Cutter,Audio,Trim and cut audio files online,3000000,🔥 Very High,Build Now,Web Audio API / FFmpeg
87,Pomodoro Timer,Productivity,25-minute focus timer,3000000,🔥 Very High,Build Now,Web Audio API / Vanilla JS
88,Random Password Generator,Utility,Strong password creator,3000000,🔥 High,Build Now,Web Crypto API
89,AI Video Summarizer,Video,Summarize long YouTube videos,3000000,🔥 Very High,Build Now,YouTube API / OpenAI API
90,YouTube Transcript Generator,Transcription,Get transcripts from YouTube videos,3000000,🔥 High,Build Now,YouTube Data API
91,AI Audio Enhancer,Audio,Remove background noise from audio,2500000,🔥 High,Build Now,Adobe Podcast API / Custom Model
92,EPUB to PDF,PDF,Convert EPUB to PDF format,2500000,🔥 High,Build Now,Calibre API
93,Color Picker,Design,Extract colors from images or screen,2500000,🔥 High,Build Now,Canvas API / EyeDropper API
94,AI Voice Cloning,Audio,Clone voices from short audio samples,2500000,🔥 High,Build Now,ElevenLabs API
95,AI Essay Writer,Text,Generate high-quality academic essays,2500000,🔥 High,Build Now,OpenAI API
96,Protect PDF,PDF,Add password to PDF,2500000,🔥 High,Build Now,pdf-lib
97,Invoice Generator,Finance,Generate PDF invoices for freelancers,2500000,🔥 Very High,Build Now,PDF-lib / Vue.js
98,Business Card Maker,Branding,Design custom business cards,2500000,🔥 High,Build Now,React / Canvas API
99,Regex Tester,Developer,Test regular expressions online,2500000,🔥 High,Build Now,regex.js
100,AI Avatar Generator,Image,Generate custom avatars from selfies,2500000,🔥 High,Build Now,Stable Diffusion API
101,Dice Roller,Utility,Virtual 3D dice roller,2500000,🔥 High,Build Now,Three.js
102,Profit Margin Calculator,Finance,Calculate gross and net profit margins,2500000,🔥 High,Build Now,Vanilla JS
103,Credit Card Generator,Developer,Generate valid test credit card numbers,2500000,🔥 High,Build Now,Vanilla JS
104,Speech to Text,Audio,Transcribe audio to text in multiple languages,2500000,🔥 High,Build Now,Whisper API / Web Speech API
105,Vimeo Video Downloader,Downloader,Download videos from Vimeo,2500000,🔥 High,Build Now,yt-dlp
106,PDF to EPUB,PDF,Convert PDF to EPUB format,2000000,🔥 High,Build Now,Calibre API
107,Coin Flipper,Utility,Virtual coin toss,2000000,🔥 High,Build Now,CSS3 Animations
108,Image Colorizer,Image,Colorize black and white photos,2000000,🔥 High,Build Now,DeOldify
109,EXIF Data Remover,Privacy,Strip metadata from images,2000000,🔥 High,Build Now,exifr / Piexifjs
110,AVI to MP4,Converter,Convert AVI videos to MP4,2000000,🔥 High,Build Now,FFmpeg
111,Video Compressor,Video,Reduce video file size without losing quality,2000000,🔥 Very High,Build Now,FFmpeg / WebCodecs API
112,AI Face Swap,Image,Swap faces in photos for fun,2000000,🔥 High,Build Now,InsightFace
113,JSON Formatter,Developer,Format and validate JSON data,2000000,🔥 High,Build Now,JSONLint
114,XML Sitemap Generator,SEO,Generate sitemap.xml for websites,2000000,🔥 High,Build Now,Node.js / Cheerio
115,Meeting Minutes Generator,Transcription,AI summaries of meeting transcripts,2000000,🔥 High,Build Now,OpenAI API
116,AI Cover Letter Generator,Text,Create tailored cover letters for jobs,2000000,🔥 High,Build Now,OpenAI API
117,AI Excel Formula Generator,Utility,Generate Excel/Sheets formulas,2000000,🔥 High,Build Now,OpenAI API
118,AI Product Description Generator,E-commerce,Write descriptions for products,2000000,🔥 High,Build Now,OpenAI API
119,AI Story Generator,Text,Write creative stories and plots,2000000,🔥 High,Build Now,OpenAI API
120,AI Presentation Generator,Productivity,Generate PowerPoint slides from text,2000000,🔥 High,Build Now,OpenAI API / PptxGenJS
121,JSON to CSV,Converter,Convert JSON data to CSV format,2000000,🔥 High,Build Now,PapaParse
122,Watermark PDF,PDF,Add text/image watermark to PDF,2000000,🔥 High,Build Now,pdf-lib
123,PDF Page Delete,PDF,Remove pages from PDF files,2000000,🔥 High,Build Now,pdf-lib
124,PNG to SVG,Image,Vectorize PNG images,2000000,🔥 High,Build Now,Potrace
125,Email Signature Generator,Branding,Create professional email signatures,2000000,🔥 High,Build Now,React
126,AI Music Generator,Audio,Generate royalty-free background music,2000000,🔥 High,Build Now,Suno API / Custom Model
127,Lorem Ipsum Generator,Design,Generate dummy text for layouts,2000000,🔥 High,Build Now,Vanilla JS
128,Margin Calculator,Finance,Calculate profit margins,2000000,🔥 High,Build Now,Vanilla JS
129,Morse Code Translator,Utility,Convert text to Morse code and back,2000000,🔥 High,Build Now,Vanilla JS
130,Cursive Text Generator,Text,Generate cursive text,2000000,🔥 High,Build Now,Vanilla JS
131,ROI Calculator,Finance,Calculate Return on Investment,2000000,🔥 High,Build Now,Vanilla JS
132,VAT Calculator,Finance,Calculate Value Added Tax,2000000,🔥 High,Build Now,Vanilla JS
133,Bilibili Video Downloader,Downloader,Download videos from Bilibili,2000000,🔥 High,Build Now,yt-dlp
134,Password Strength Checker,Privacy,Test password strength and entropy,2000000,🔥 High,Build Now,zxcvbn
135,JS Minifier,Developer,Compress JavaScript code,1800000,🔥 High,Build Now,Terser
136,Base64 Encode/Decode,Developer,Encode or decode Base64 strings,1500000,🔥 High,Build Now,btoa/atob
137,Text to Handwriting,Text,Convert digital text to handwriting,1500000,🔥 High,Build Now,Canvas API
138,Receipt Generator,Finance,Create custom receipts,1500000,🔥 High,Build Now,Canvas API / jsPDF
139,AI Thumbnail Maker,Design,Generate clickbait YouTube thumbnails,1500000,🔥 High,Build Now,Canvas API / OpenAI API
140,Secure Note Sharer,Privacy,Share self-destructing notes,1500000,🔥 High,Build Now,Crypto API / Redis
141,Video to GIF,Video,Convert MP4/WebM to GIF animations,1500000,🔥 High,Build Now,FFmpeg / gif.js
142,Image to Base64,Developer,Convert image to Base64 string,1500000,🔥 High,Build Now,FileReader API
143,Subtitle Translator,Video,Translate SRT/VTT files,1500000,🔥 High,Build Now,Google Translate API
144,IBAN Validator,Finance,Validate International Bank Account Numbers,1500000,🔥 High,Build Now,ibantools
145,AI Flowchart Maker,Productivity,Generate flowcharts from text,1500000,🔥 High,Build Now,Mermaid.js / OpenAI API
146,AI Code Explainer,Developer,Explain complex code snippets,1500000,🔥 Medium,Build Now,OpenAI API
147,AI SQL Generator,Developer,Generate SQL queries from natural language,1500000,🔥 High,Build Now,OpenAI API
148,AI Recipe Generator,Lifestyle,Generate recipes based on ingredients,1500000,🔥 High,Build Now,OpenAI API
149,AI Domain Name Generator,Branding,Generate available domain names,1500000,🔥 High,Build Now,OpenAI API / Domain API
150,AI Mind Map Generator,Productivity,Create mind maps from prompts,1500000,🔥 High,Build Now,OpenAI API / React Flow
151,CSV to JSON,Converter,Convert CSV data to JSON format,1500000,🔥 High,Build Now,PapaParse
152,Rotate PDF,PDF,Rotate PDF pages,1500000,🔥 High,Build Now,pdf-lib
153,Extract Images from PDF,PDF,Extract all images from a PDF,1500000,🔥 High,Build Now,pdf.js
154,SQL Formatter,Developer,Beautify SQL queries,1500000,🔥 High,Build Now,sql-formatter
155,UUID Generator,Developer,Generate v4 UUIDs,1500000,🔥 High,Build Now,uuid
156,HEX to RGB Converter,Design,Convert color codes,1500000,🔥 High,Build Now,Vanilla JS
157,BMR Calculator,Health,Basal Metabolic Rate calculator,1500000,🔥 High,Build Now,Vanilla JS
158,Meta Tag Generator,SEO,Generate SEO meta tags,1500000,🔥 High,Build Now,Vanilla JS
159,Text to Binary,Developer,Convert text to binary code,1500000,🔥 High,Build Now,Vanilla JS
160,Binary to Text,Developer,Convert binary code to text,1500000,🔥 High,Build Now,Vanilla JS
161,Break-Even Calculator,Finance,Calculate break-even point,1500000,🔥 High,Build Now,Vanilla JS
162,Conversion Rate Calculator,Marketing,Calculate website conversion rates,1500000,🔥 High,Build Now,Vanilla JS
163,CPM Calculator,Marketing,Calculate Cost Per Mille for ads,1500000,🔥 High,Build Now,Vanilla JS
164,ROAS Calculator,Marketing,Calculate Return on Ad Spend,1500000,🔥 High,Build Now,Vanilla JS
165,Podcast Transcription,Transcription,Transcribe podcast episodes,1500000,🔥 High,Build Now,Whisper API
166,CSS Minifier,Developer,Compress CSS code,1200000,🔥 Medium,Build Now,clean-css
167,Markdown to HTML,Converter,Convert Markdown to HTML code,1200000,🔥 Medium,Build Now,marked.js
168,Compare PDF Files,PDF,Compare two PDFs for differences,1200000,🔥 Medium,Build Now,pdf.js
169,Favicon Generator,Design,Convert images to .ico and app icons,1200000,🔥 Medium,Build Now,Sharp / jimp
170,Case Converter,Text,Convert to UPPER/lower/Title/camel case,1200000,🔥 Medium,Build Now,Vanilla JS
171,Keyword Density Checker,SEO,Analyze text for keyword frequency,1200000,🔥 Medium,Build Now,Vanilla JS
172,Base64 to Image,Developer,Convert Base64 string to image,1200000,🔥 Medium,Build Now,Vanilla JS
173,Flip Image,Image,Flip image horizontally/vertically,1000000,🔥 Medium,Build Now,Canvas API
174,MD5 Hash Generator,Developer,Generate MD5 hash from string,1000000,🔥 Medium,Build Now,CryptoJS
175,HTML Minifier,Developer,Compress HTML code,1000000,🔥 Medium,Build Now,html-minifier
176,Barcode Generator,Utility,Generate EAN/UPC/Code39 barcodes,1000000,🔥 High,Build Now,JsBarcode
177,AI Regex Generator,Developer,Generate regular expressions from text,1000000,🔥 Medium,Build Now,OpenAI API
178,AI Business Idea Generator,Business,Generate startup ideas,1000000,🔥 Medium,Build Now,OpenAI API
179,AI Slogan Generator,Branding,Create catchy slogans for brands,1000000,🔥 Medium,Build Now,OpenAI API
180,AI Poem Generator,Text,Write poems in various styles,1000000,🔥 Medium,Build Now,OpenAI API
181,PGP Key Generator,Privacy,Generate PGP public and private keys,1000000,🔥 Medium,Build Now,OpenPGP.js
182,Add Page Numbers to PDF,PDF,Add page numbers to PDF documents,1000000,🔥 Medium,Build Now,pdf-lib
183,HTML to Markdown,Converter,Convert HTML to Markdown text,1000000,🔥 Medium,Build Now,Turndown
184,Reverse Text Generator,Text,Reverse text or words,1000000,🔥 Medium,Build Now,Vanilla JS
185,Zalgo Text Generator,Text,Generate glitch text,1000000,🔥 Medium,Build Now,Vanilla JS
186,Invisible Text Generator,Text,Generate invisible characters,1000000,🔥 Medium,Build Now,Vanilla JS
187,LTV Calculator,Finance,Calculate Customer Lifetime Value,1000000,🔥 Medium,Build Now,Vanilla JS
188,CAC Calculator,Finance,Calculate Customer Acquisition Cost,1000000,🔥 Medium,Build Now,Vanilla JS
189,Burn Rate Calculator,Finance,Calculate startup burn rate and runway,1000000,🔥 Medium,Build Now,Vanilla JS
190,Net Promoter Score Calculator,Marketing,Calculate NPS from survey data,1000000,🔥 Medium,Build Now,Vanilla JS
191,XML to CSV,Converter,Convert XML data to CSV format,1000000,🔥 Medium,Build Now,xml2js / PapaParse
192,PDF Metadata Editor,PDF,Edit PDF properties and metadata,800000,🔥 Medium,Build Now,pdf-lib
193,SVG Editor,Design,Edit and optimize SVG files online,800000,🔥 Medium,Build Now,SVGO / Fabric.js
194,Robots.txt Generator,SEO,Create robots.txt files,800000,🔥 Medium,Build Now,Vanilla JS
195,SaaS Pricing Calculator,Finance,Optimize SaaS pricing tiers,800000,🔥 Medium,Build Now,Vanilla JS
196,Employee Turnover Calculator,HR,Calculate employee turnover rate,800000,🔥 Medium,Build Now,Vanilla JS
197,MAC Address Generator,Privacy,Generate random MAC addresses,800000,🔥 Medium,Build Now,Vanilla JS
198,IP Anonymizer,Privacy,Anonymize IP addresses in logs,800000,🔥 Medium,Build Now,Vanilla JS
199,XML to JSON,Developer,Convert XML data to JSON format,800000,🔥 Medium,Build Now,xml2js
200,Braille Translator,Text,Translate text to Braille,500000,🔥 Medium,Build Now,Vanilla JS